INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,OCCUR_YEAR
62696681,06/11/2009,23:51:00,BROOKLYN,83,0,MULTI DWELL - APT BUILD,true,18-24,M,BLACK,18-24,M,BLACK,1007864,193605,40.698054484000075,-73.91484114299993,POINT (-73.91484114299993 40.698054484000075),2009
83467732,03/03/2012,15:55:00,BROOKLYN,60,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,25-44,M,BLACK,984688,150503,40.57978019500007,-73.99842465499995,POINT (-73.99842465499995 40.57978019500007),2012
25257130,11/11/2006,19:28:00,BRONX,47,0,,true,45-64,M,BLACK,<18,M,BLACK,1026736,258842,40.87704179600007,-73.84636963999998,POINT (-73.84636963999998 40.87704179600007),2006
25452379,11/23/2006,22:47:00,MANHATTAN,33,0,,false,18-24,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1001936,245282,40.83990820100007,-73.93608358699998,POINT (-73.93608358699998 40.83990820100007),2006
70892758,01/24/2010,19:16:00,QUEENS,101,0,,false,18-24,M,BLACK,18-24,M,BLACK,1054076,157437,40.59853759300007,-73.74855959599995,POINT (-73.74855959599995 40.59853759300007),2010
51239106,09/10/2008,1:59:00,QUEENS,103,0,,false,25-44,M,BLACK,45-64,M,BLACK,1040260,193180,40.69674222100008,-73.79801372099996,POINT (-73.79801372099996 40.69674222100008),2008
64773332,08/15/2009,21:55:00,BRONX,43,0,,false,UNKNOWN,U,UNKNOWN,18-24,M,BLACK HISPANIC,1018110,240290,40.82615940800008,-73.87765539999998,POINT (-73.87765539999998 40.82615940800008),2009
62991282,06/19/2009,22:22:00,BRONX,42,0,,false,UNKNOWN,U,UNKNOWN,18-24,M,BLACK HISPANIC,1012137,242980,40.83356356000007,-73.899226388,POINT (-73.899226388 40.83356356000007),2009
32878660,07/03/2007,4:05:00,BROOKLYN,69,0,MULTI DWELL - APT BUILD,false,UNKNOWN,M,BLACK,25-44,M,BLACK,1014335,173363,40.64247512100008,-73.89159482399998,POINT (-73.89159482399998 40.64247512100008),2007
83476100,03/02/2012,18:25:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1015121,242644,40.83263141200007,-73.88844468499997,POINT (-73.88844468499997 40.832631412000076),2012
26022835,12/31/2006,4:14:00,BRONX,52,0,,true,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1013986,256644,40.87106112900005,-73.89248407199995,POINT (-73.89248407199995 40.87106112900005),2006
63429559,07/05/2009,1:55:00,BROOKLYN,71,0,,false,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1002904,181999,40.66621050200007,-73.93276074799998,POINT (-73.93276074799998 40.66621050200007),2009
151624171,03/28/2016,19:10:00,BRONX,47,0,MULTI DWELL - APT BUILD,false,45-64,M,BLACK,45-64,M,BLACK,1023658,263624,40.89018115600004,-73.85747170999997,POINT (-73.85747170999997 40.89018115600004),2016
94046068,12/15/2013,17:30:00,BROOKLYN,75,0,,false,18-24,M,BLACK,25-44,M,BLACK,1020979,181163,40.663859339000055,-73.86761176,POINT (-73.86761176 40.663859339000055),2013
94889360,02/11/2014,19:40:00,QUEENS,105,0,,false,25-44,M,BLACK,45-64,M,WHITE HISPANIC,1054392,199960,40.71525092500008,-73.74697940599998,POINT (-73.746979406 40.71525092500008),2014
92175189,08/18/2013,5:00:00,BRONX,52,0,,false,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1018851,259662,40.879326873000025,-73.87487797499993,POINT (-73.87487797499993 40.879326873000025),2013
33008215,07/09/2007,2:28:00,BROOKLYN,71,0,,false,25-44,F,BLACK,18-24,M,WHITE,998749,181383,40.66452749800004,-73.94773929099993,POINT (-73.94773929099993 40.66452749800004),2007
34562747,09/22/2007,11:12:00,BRONX,52,0,MULTI DWELL - APT BUILD,false,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1010676,253888,40.86350728100007,-73.90446299999998,POINT (-73.90446299999998 40.86350728100007),2007
26884361,02/14/2007,23:40:00,BROOKLYN,83,0,,false,18-24,M,BLACK,25-44,M,BLACK,1007289,190656,40.68996167900008,-73.91692487799997,POINT (-73.91692487799997 40.68996167900008),2007
62854553,06/16/2009,0:01:00,QUEENS,105,0,,false,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1057625,201156,40.71850742200007,-73.73530409399994,POINT (-73.73530409399994 40.71850742200007),2009
91499740,07/06/2013,4:04:00,BROOKLYN,63,0,PVT HOUSE,false,UNKNOWN,M,BLACK,18-24,M,BLACK,1005602,169969,40.633184675000045,-73.92307355099996,POINT (-73.92307355099996 40.633184675000045),2013
29373512,06/02/2007,14:21:00,QUEENS,104,0,PVT HOUSE,true,25-44,M,BLACK HISPANIC,25-44,F,BLACK HISPANIC,1012267,200044,40.715715166000045,-73.89893561499997,POINT (-73.89893561499997 40.715715166000045),2007
